CustomerKey,FirstName,LastName,Gender,DateFirstPurchase,Customer City
11417,Lacey,Zheng,F,2023-11-04,Pantin
11418,Rafael,Hu,M,2024-12-17,Paderborn
11419,Kyle,Scott,M,2024-03-12,Watford
11420,Jordan,Turner,M,2023-11-01,Roubaix
11421,Amy,Sun,F,2022-11-03,Offenbach
11422,Dustin,Deng,M,2022-08-22,Liverpool
11423,Jasmine,Stewart,F,2022-12-10,Hamburg
11424,Pamela,Garcia,F,2024-04-21,Berlin
11425,Ariana,Gray,F,2023-11-22,Metz
11426,Kristopher,Mehta,M,2024-04-09,Braunschweig
11427,Desiree,Dominguez,F,2022-12-20,Kiel
11428,Deanna,Perez,F,2022-12-05,Poing
11429,Marco,Lopez,M,2023-12-14,Sèvres
11430,Casey,Yuan,F,2024-03-19,Bottrop
11431,Bryant,Garcia,M,2022-12-21,Hof
11432,Dominique,Prasad,F,2023-12-10,Roissy en Brie
11433,Maurice,Shan,M,2023-12-02,Tremblay-en-France
11434,Andre,Lopez,M,2024-06-15,West Sussex
11435,Robin,Romero,F,2025-01-04,Kiel
11436,Taylor,Cox,F,2024-05-22,Watford
11437,Alfredo,Moreno,M,2024-12-19,Villeneuve-d'Ascq
11438,Jenny,Nara,F,2024-02-05,Werne
11439,Janet,Munoz,F,2023-11-29,Paris La Defense
11440,Sergio,Weber,M,2024-03-27,Lille
11441,Erika,Gomez,F,2025-01-08,Paris
11442,Joseph,Harris,M,2024-09-29,Tremblay-en-France
11443,Grace,Griffin,F,2022-06-07,Hobart
11444,Tina,Mehta,F,2022-06-01,Bendigo
11445,Kari,Kim,F,2022-06-06,Silverwater
11446,Bethany,Chander,F,2022-06-18,Lane Cove
11447,Jennifer,Roberts,F,2022-06-28,Hervey Bay
11448,Kyle,Patterson,M,2022-06-16,Melbourne
11449,Alvin,Hu,M,2022-06-19,Seaford
11450,Brett,Mehta,M,2022-06-29,Cloverdale
11451,Ruben,Muñoz,M,2022-07-29,Newcastle
11452,Erika,Rubio,F,2022-07-11,Caloundra
11453,Stanley,Malhotra,M,2022-07-15,Hobart
11454,Melinda,Navarro,F,2022-07-31,Melbourne
11455,Ross,Sanz,M,2022-07-01,Melton
11456,Jon,Gao,M,2022-07-17,St. Leonards
11457,Jaime,Gutierrez,F,2022-07-17,Wollongong
11458,Bianca,Liu,F,2024-03-30,Springwood
11459,Tasha,Deng,F,2022-07-27,Port Macquarie
11460,Melvin,Chande,M,2022-07-21,Cranbourne
11461,Victor,Jimenez,M,2022-07-31,Lavender Bay
11462,Laura,Lin,F,2022-07-16,Matraville
11463,Alisha,Beck,F,2024-03-05,Cloverdale
11464,Alejandro,Huang,M,2022-07-22,South Melbourne
11465,Louis,Luo,M,2022-07-14,Gold Coast
11466,Grant,Tang,M,2024-05-22,Lavender Bay
11467,Arturo,Zheng,M,2024-07-31,St. Leonards
11468,Jaclyn,Andersen,F,2022-08-08,York
11469,Edwin,Raji,M,2024-08-09,York
11470,Jay,Suarez,M,2023-01-22,Stuttgart
11471,Latasha,Suarez,F,2024-05-17,Chatou
11472,Kenneth,Kumar,M,2022-07-26,Hawthorne
11473,Grace,Henderson,F,2024-06-02,Drancy
11474,Melvin,Xu,M,2024-09-26,Peterborough
11475,Cesar,Subram,M,2024-04-23,London
11476,Erika,Navarro,F,2024-11-01,Kirkby
11477,Tristan,Hughes,M,2024-09-25,Darmstadt
11478,Billy,Hernandez,M,2024-04-19,Sèvres
11479,Darryl,Wu,M,2023-12-05,Saint Ouen
11480,Colleen,Ma,F,2023-12-25,Tremblay-en-France
11481,Erica,Hu,F,2023-01-27,Braunschweig
11482,Adrienne,Torres,F,2022-09-08,Warrington
11483,Calvin,Chande,M,2023-12-22,Paris
11484,Erick,Sai,M,2023-01-02,Neunkirchen
11485,Donald,Chandra,M,2022-09-14,Esher-Molesey
11486,Ariana,Rogers,F,2024-11-24,Erlangen
11487,Morgan,Jones,F,2024-12-15,Dunkerque
11488,Jermaine,Lopez,M,2022-10-28,London
11489,Deborah,Goel,F,2022-10-28,Oxford
11490,Danny,Rubio,M,2024-04-04,Paris La Defense
11491,Andre,Perez,M,2022-11-07,London
11492,Terrence,Chander,M,2023-02-11,Eilenburg
11493,Dawn,Wu,F,2022-11-14,London
11494,Jimmy,Gutierrez,M,2022-12-23,Runcorn
11495,Francis,Jimenez,M,2024-10-26,Bonn
11496,Gary,Ortega,M,2022-11-30,Warrington
11497,Katrina,Nath,F,2024-11-04,Newcastle upon Tyne
11498,Arturo,Sun,M,2024-02-28,Cliffside
11499,Pedro,Vance,M,2024-04-06,Concord
11500,Sarah,Simmons,F,2024-01-31,Langley
11501,Brandy,Chandra,F,2024-03-27,Cliffside
11502,Jared,Peterson,M,2024-01-30,Shawnee
11503,Dennis,Wu,M,2024-05-26,Coronado
11504,Jordan,Baker,F,2024-05-01,Downey
11505,Jasmine,Powell,F,2024-02-22,Burnaby
11506,Nicholas,Brown,M,2024-03-08,Port Hammond
11507,Isabella,Russell,F,2024-02-17,Victoria
11508,Elizabeth,Wilson,F,2024-05-02,Lynnwood
11509,Roger,Harui,F,2024-07-29,Novato
